Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	epithelial cell differentiation (GO:0030855)	1/101	4.937833e-02	7.832425e-02	0	0	2.210000e+01	6.648218e+01	AKR1C2
GO_Biological_Process_2021	epithelium development (GO:0060429)	1/122	5.936524e-02	9.102670e-02	0	0	1.824518e+01	5.152523e+01	AKR1C2
GO_Biological_Process_2021	muscle contraction (GO:0006936)	1/129	6.267316e-02	9.299888e-02	0	0	1.724132e+01	4.775539e+01	SMPX
GO_Biological_Process_2021	organic substance transport (GO:0071702)	1/136	6.597061e-02	9.370148e-02	0	0	1.634156e+01	4.442529e+01	CUBN
GO_Biological_Process_2021	nitrogen compound transport (GO:0071705)	1/143	6.925762e-02	9.370148e-02	0	0	1.553052e+01	4.146527e+01	CUBN
GO_Biological_Process_2021	receptor-mediated endocytosis (GO:0006898)	1/143	6.925762e-02	9.370148e-02	0	0	1.553052e+01	4.146527e+01	CUBN
GO_Biological_Process_2021	positive regulation of protein kinase B signaling (GO:0051897)	1/161	7.766217e-02	1.020703e-01	0	0	1.377083e+01	3.518981e+01	AKR1C2
GO_Biological_Process_2021	regulation of protein kinase B signaling (GO:0051896)	1/207	9.883105e-02	1.262841e-01	0	0	1.067098e+01	2.469632e+01	AKR1C2
GO_Biological_Process_2021	negative regulation of nucleic acid-templated transcription (GO:1903507)	1/464	2.092603e-01	2.582047e-01	0	0	4.686105e+00	7.329894e+00	FOXP2
GO_Biological_Process_2021	positive regulation of cell population proliferation (GO:0008284)	1/474	2.132995e-01	2.582047e-01	0	0	4.584684e+00	7.083602e+00	AKR1C2
GO_Biological_Process_2021	positive regulation of intracellular signal transduction (GO:1902533)	1/546	2.418381e-01	2.785619e-01	0	0	3.964322e+00	5.627304e+00	AKR1C2
GO_Biological_Process_2021	negative regulation of cellular macromolecule biosynthetic process (GO:2000113)	1/547	2.422278e-01	2.785619e-01	0	0	3.956858e+00	5.610337e+00	FOXP2
GO_Biological_Process_2021	positive regulation of cellular process (GO:0048522)	1/625	2.720762e-01	3.052562e-01	0	0	3.448362e+00	4.488640e+00	AKR1C2
GO_Biological_Process_2021	negative regulation of transcription by RNA polymerase II (GO:0000122)	1/684	2.939464e-01	3.219412e-01	0	0	3.140882e+00	3.845564e+00	FOXP2
GO_Biological_Process_2021	regulation of cell population proliferation (GO:0042127)	1/764	3.226561e-01	3.451670e-01	0	0	2.799913e+00	3.167172e+00	AKR1C2
GO_Biological_Process_2021	negative regulation of transcription, DNA-templated (GO:0045892)	1/948	3.847416e-01	4.022299e-01	0	0	2.234307e+00	2.134173e+00	FOXP2
GO_Biological_Process_2021	regulation of transcription by RNA polymerase II (GO:0006357)	1/2206	6.893182e-01	6.958912e-01	0	0	8.961955e-01	3.334316e-01	FOXP2
GO_Biological_Process_2021	regulation of transcription, DNA-templated (GO:0006355)	1/2244	6.958912e-01	6.958912e-01	0	0	8.791301e-01	3.187392e-01	FOXP2
